Census Tract,Percent of Population Below Poverty Line
Tract 42101026100,13.3
Tract 42101026200,17.1
Tract 42101026301,14
Tract 42101026302,6.4
Tract 42101026400,8.9
Tract 42101026500,23.1
Tract 42101026600,18.4
Tract 42101026700,17.9
Tract 42101026800,25.1
Tract 42101026900,15.6
Tract 42101027000,9.8
Tract 42101027100,12.8
Tract 42101027200,17.3
Tract 42101027300,28
Tract 42101027401,20.1
Tract 42101027402,34.7
Tract 42101027500,22.7
Tract 42101027600,14.3
Tract 42101027700,27.6
Tract 42101027800,21.1
Tract 42101027901,21.2
Tract 42101027902,30.6
Tract 42101028000,26.4
Tract 42101028100,15.9
Tract 42101028200,31.4
Tract 42101028300,46.5
Tract 42101028400,46.1
Tract 42101028500,45.4
Tract 42101028600,27.7
Tract 42101028700,58.9
Tract 42101028800,45.1
Tract 42101028901,28.3
Tract 42101028902,36.1
Tract 42101029000,33.7
Tract 42101029100,49.7
Tract 42101029200,12
Tract 42101029300,48
Tract 42101029400,56.2
Tract 42101029800,33.3
Tract 42101029900,39.7
Tract 42101030000,45.9
Tract 42101030100,40.2
Tract 42101030200,19.7
Tract 42101030501,33.3
Tract 42101030502,23.2
Tract 42101030600,13.3
Tract 42101030700,17.3
Tract 42101030800,7.2
Tract 42101030900,12.4
Tract 42101031000,24.5
Tract 42101031101,30.8
Tract 42101031102,12.5
Tract 42101031200,20.9
Tract 42101031300,27.1
Tract 42101031401,22.1
Tract 42101031402,27.1
Tract 42101031501,9.2
Tract 42101031502,18.6
Tract 42101031600,16.1
Tract 42101031700,23.2
Tract 42101031800,25
Tract 42101031900,22.2
Tract 42101032000,26.3
Tract 42101032100,10.5
Tract 42101032300,26.1
Tract 42101032500,21.1
Tract 42101032600,13.7
Tract 42101032900,22.8
Tract 42101033000,30.9
Tract 42101033101,22.7
Tract 42101033102,16
Tract 42101033200,9.3
Tract 42101033300,14
Tract 42101033400,19.5
Tract 42101033500,26
Tract 42101033600,35.4
Tract 42101033701,18.2
Tract 42101033702,4.7
Tract 42101033800,10.6
Tract 42101033900,14.1
Tract 42101034000,7.9
Tract 42101034100,5.5
Tract 42101034200,16.1
Tract 42101034400,5.1
Tract 42101034501,13
Tract 42101034502,17.3
Tract 42101034600,11
Tract 42101034701,9.1
Tract 42101034702,2.8
Tract 42101034801,10.1
Tract 42101034802,9.1
Tract 42101034803,12.6
Tract 42101034900,9.3
Tract 42101035100,14
Tract 42101035200,4.4
Tract 42101035301,2.4
Tract 42101035302,8.3
Tract 42101035500,11.8
Tract 42101035601,10.1
Tract 42101035602,0.8
Tract 42101035701,18.2
Tract 42101035702,24
Tract 42101035800,9.5
Tract 42101035900,13.8
Tract 42101036000,14.4
Tract 42101036100,6.7
Tract 42101036201,7.9
Tract 42101036202,5.1
Tract 42101036203,4.9
Tract 42101036301,18.8
Tract 42101036302,6.6
Tract 42101036303,1.6
Tract 42101036400,34.9
Tract 42101036501,14.4
Tract 42101036502,5.3
Tract 42101036600,3.8
Tract 42101036700,5.7
Tract 42101036901,-
Tract 42101036902,55.7
Tract 42101037200,19
Tract 42101037300,5.6
Tract 42101037500,11
Tract 42101037600,25.4
Tract 42101037700,43.2
Tract 42101037800,12.2
Tract 42101037900,15.3
Tract 42101038000,26
Tract 42101038100,24.3
Tract 42101038200,39.6
Tract 42101038301,51.6
Tract 42101038400,3.8
Tract 42101038500,6.3
Tract 42101038600,0.5
Tract 42101038700,6.9
Tract 42101038800,3.1
Tract 42101038900,28.6
Tract 42101039001,24
Tract 42101039002,25
Tract 42101039100,54.9
Tract 42101980001,-
Tract 42101980002,-
Tract 42101980003,-
Tract 42101980100,0
Tract 42101980200,39.4
Tract 42101980300,-
Tract 42101980400,-
Tract 42101980500,-
Tract 42101980600,-
Tract 42101980701,-
Tract 42101980702,-
Tract 42101980800,-
Tract 42101980901,-
Tract 42101980902,-
Tract 42101980903,-
Tract 42101980904,-
Tract 42101980905,-
Tract 42101980906,-
Tract 42101989100,41.5
Tract 42101989200,-
Tract 42101989300,-
